Gene	Reactions	Growth	Production rate
b1241	ACALD;ALCD2x	0.8311604862984543	0.8192083333333301
b0351	ACALD	0.8311604862984544	0.8192083333333301
s0001	ACALDt;CO2t;NH4t;O2t;H2Ot	0.0	3.580213307719144
b1849	ACKr	0.8311604862984541	0.8192083333333301
b3115	ACKr	0.8311604862984541	0.8192083333333301
b2296	ACKr	0.8311604862984541	0.8192083333333301
b1276	ACONTa;ACONTb	0.0	0.0
b0118	ACONTa;ACONTb	0.0	0.0
b0474	ADK1	0.8311604862984541	0.8192083333333358
b0116	AKGDH;PDH	0.6134311781257527	0.0
b0727	AKGDH	0.7614704147454187	0.8192083333333301
b0726	AKGDH	0.7614704147454187	0.8192083333333301
b2587	AKGt2r	0.8311604862984542	0.8192083333333301
b0356	ALCD2x	0.8311604862984538	0.8192083333333301
b1478	ALCD2x	0.8311604862984538	0.8192083333333301
b3734	ATPS4r	0.11613730895901	0.0
b3733	ATPS4r	0.11613730895901	0.0
b3736	ATPS4r	0.11613730895901	0.0
b3737	ATPS4r	0.11613730895901	0.0
b3739	ATPS4r	0.11613730895901	0.0
b3738	ATPS4r	0.11613730895901	0.0
b3735	ATPS4r	0.11613730895901	0.0
b3731	ATPS4r	0.11613730895901	0.0
b3732	ATPS4r	0.11613730895901	0.0
b0720	CS	0.0	0.0
b0733	CYTBD	0.033535595240259085	4.720715750352804
b0734	CYTBD	0.033535595240259085	4.720715750352804
b0979	CYTBD	0.033535595240259085	4.720715750352804
b0978	CYTBD	0.033535595240259085	4.720715750352804
b3603	D_LACt2	0.8311604862984542	0.8192083333332976
b2975	D_LACt2	0.8311604862984542	0.8192083333332976
b2779	ENO	0.0	0.0
b2925	FBA	0.0	0.0
b1773	FBA	0.0	0.0
b2097	FBA	0.0	0.0
b3925	FBP	0.8311604862984538	0.8192083333333301
b4232	FBP	0.8311604862984538	0.8192083333333301
b2492	FORt2;FORt	0.8311604862984532	0.8192083333333301
b0904	FORt2;FORt	0.8311604862984532	0.8192083333333301
b4152	FRD7	0.8311604862984526	0.8192083333333301
b4154	FRD7	0.8311604862984526	0.8192083333333301
b4153	FRD7	0.8311604862984526	0.8192083333333301
b4151	FRD7	0.8311604862984526	0.8192083333333301
b1611	FUM	0.5273508000107593	5.21187308889051
b4122	FUM	0.5273508000107593	5.21187308889051
b1612	FUM	0.5273508000107593	5.21187308889051
b3528	FUMt2_2;SUCCt2_2;MALt2_2	0.8311604862984535	0.8192083333333301
b1852	G6PDH2r	0.7915940983396107	0.7277229310947062
b1779	GAPD	0.0	0.0
b1297	GLNS	0.0	0.8192083333333301
b3870	GLNS	0.0	0.8192083333333301
b0809	GLNabc	0.8311604862984537	0.8192083333333301
b0811	GLNabc	0.8311604862984537	0.8192083333333301
b0810	GLNabc	0.8311604862984537	0.8192083333333301
b1761	GLUDy	0.7777576982036202	0.8192083333333301
b1524	GLUN	0.8311604862984536	0.8192083333333301
b0485	GLUN	0.8311604862984536	0.8192083333333301
b1812	GLUN	0.8311604862984536	0.8192083333333301
b3213	GLUSy	0.8311604862984544	0.8192083333333301
b3212	GLUSy	0.8311604862984544	0.8192083333333301
b4077	GLUt2r	0.8311604862984527	0.8192083333333668
b2029	GND	0.7915940983396138	0.7277229310948119
b0875	H2Ot	0.24360017280976387	0.0
b1136	ICDHyr	0.0	5.188826799925897
b4015	ICL	0.831160486298452	0.8192083333333301
b1380	LDH_D	0.8311604862984547	0.8192083333333127
b2133	LDH_D	0.8311604862984547	0.8192083333333127
b4014	MALS	0.8311604862984551	0.8192083333333301
b2976	MALS	0.8311604862984551	0.8192083333333301
b3236	MDH	0.7396991123645914	0.8192083333333301
b1479	ME1	0.8311604862984523	0.8192083333333301
b2463	ME2	0.8311604862984535	0.8192083333333301
b2281	NADH16	0.07801538949360212	0.0
b2277	NADH16	0.07801538949360212	0.0
b2280	NADH16	0.07801538949360212	0.0
b2286	NADH16	0.07801538949360212	0.0
b2287	NADH16	0.07801538949360212	0.0
b2284	NADH16	0.07801538949360212	0.0
b2276	NADH16	0.07801538949360212	0.0
b2282	NADH16	0.07801538949360212	0.0
b2279	NADH16	0.07801538949360212	0.0
b2283	NADH16	0.07801538949360212	0.0
b2285	NADH16	0.07801538949360212	0.0
b2288	NADH16	0.07801538949360212	0.0
b2278	NADH16	0.07801538949360212	0.0
b1603	NADTRHD;THD2	0.8311604862984523	0.8192083333333301
b3962	NADTRHD	0.8311604862984535	0.8192083333333301
b1602	NADTRHD;THD2	0.8311604862984523	0.8192083333333301
b0451	NH4t	0.0	2.3042427742027733
b0114	PDH	0.7796691499217797	0.0
b0115	PDH	0.7796691499217797	0.0
b3916	PFK	0.0	0.0
b1723	PFK	0.0	0.0
b3114	PFL	0.8311604862984551	0.8192083333333301
b2579	PFL	0.8311604862984551	0.8192083333333301
b3951	PFL	0.8311604862984551	0.8192083333333301
b0902	PFL	0.8311604862984551	0.8192083333333301
b3952	PFL	0.8311604862984551	0.8192083333333301
b0903	PFL	0.8311604862984551	0.8192083333333301
